# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
4.55            	3.25272681e+00	1.62636340e+00	1.62636340e+00	-1.17051788e+00	-4.29279638e-01	-7.41238240e-01	1.55979301e-01	1.28202171e-16	-2.08665991e-17	-6.73600657e-17	-5.45466320e-17	-1.28134337e-17
4.56            	3.27418818e+00	1.63709409e+00	1.63709409e+00	-1.23738429e+00	-6.47775574e-01	-5.89608720e-01	-2.90834273e-02	1.21745801e-16	-2.63479948e-17	-6.56268857e-17	-5.91614376e-17	-6.46544808e-18
4.57            	3.28761123e+00	1.64380562e+00	1.64380562e+00	-1.26827471e+00	-6.35006728e-01	-6.33267986e-01	-8.69371308e-04	1.16598046e-16	-3.15013939e-17	-6.80391303e-17	-6.55209590e-17	-2.51817128e-18
4.58            	3.30569189e+00	1.65284594e+00	1.65284594e+00	-1.26184405e+00	-9.26454110e-01	-3.35389944e-01	-2.95532083e-01	1.12958367e-16	-3.51779379e-17	-7.44818438e-17	-7.24188598e-17	-2.06298403e-18
4.59            	3.31035493e+00	1.65517746e+00	1.65517746e+00	-1.21780700e+00	-9.25484325e-01	-2.92322678e-01	-3.16580823e-01	1.11537817e-16	-3.78692825e-17	-8.47884848e-17	-8.02635249e-17	-4.52495990e-18
4.6             	3.29158508e+00	1.64579254e+00	1.64579254e+00	-1.13672063e+00	-2.81849236e-01	-8.54871395e-01	2.86511080e-01	1.12727795e-16	-3.99198898e-17	-9.87461515e-17	-8.92929656e-17	-9.45318590e-18
4.61            	3.29194401e+00	1.64597201e+00	1.64597201e+00	-1.01996113e+00	-4.87363158e-01	-5.32597971e-01	2.26174065e-02	1.15659108e-16	-3.94368644e-17	-1.16103290e-16	-9.74885096e-17	-1.86147808e-17
4.62            	3.26871496e+00	1.63435748e+00	1.63435748e+00	-8.70086824e-01	4.20718090e-02	-9.12158633e-01	4.77115221e-01	1.21166188e-16	-3.86494518e-17	-1.36553441e-16	-1.06926172e-16	-2.96272688e-17
4.63            	3.26368365e+00	1.63184183e+00	1.63184183e+00	-6.91270097e-01	-1.22498842e-01	-5.68771255e-01	2.23136206e-01	1.28092888e-16	-3.60148647e-17	-1.59699437e-16	-1.15864583e-16	-4.38348538e-17
4.64            	3.25346100e+00	1.62673050e+00	1.62673050e+00	-4.89559384e-01	-8.15124976e-02	-4.08046886e-01	1.63267194e-01	1.36511384e-16	-3.31044225e-17	-1.84995318e-16	-1.25602081e-16	-5.93932363e-17
4.65            	3.23343362e+00	1.61671681e+00	1.61671681e+00	-2.72661814e-01	3.82801722e-01	-6.55463536e-01	5.19132629e-01	1.45940722e-16	-3.06478348e-17	-2.11712764e-16	-1.36504217e-16	-7.52085474e-17
4.66            	3.23622014e+00	1.61811007e+00	1.61811007e+00	-4.93060398e-02	1.43102872e-01	-1.92408912e-01	1.67755892e-01	1.55045081e-16	-2.75835505e-17	-2.38954141e-16	-1.47060621e-16	-9.18935200e-17
4.67            	3.23534204e+00	1.61767102e+00	1.61767102e+00	1.71629973e-01	1.68644153e-01	2.98582020e-03	8.28291662e-02	1.63822561e-16	-2.54394033e-17	-2.65725099e-16	-1.58301953e-16	-1.07423146e-16
4.68            	3.24416441e+00	1.62208221e+00	1.62208221e+00	3.81693846e-01	-1.63865101e-02	3.98080356e-01	-2.07233433e-01	1.71545532e-16	-2.37107110e-17	-2.91014967e-16	-1.69218194e-16	-1.21796772e-16
4.69            	3.24172935e+00	1.62086468e+00	1.62086468e+00	5.73200965e-01	3.19181505e-01	2.54019460e-01	3.25810225e-02	1.78378868e-16	-2.33093686e-17	-3.13869136e-16	-1.80243937e-16	-1.33625200e-16
4.7             	3.26185916e+00	1.63092958e+00	1.63092958e+00	7.39231244e-01	-6.98839242e-02	8.09115168e-01	-4.39499546e-01	1.83416779e-16	-2.24925726e-17	-3.33407418e-16	-1.89196282e-16	-1.44211136e-16
4.71            	3.27061907e+00	1.63530953e+00	1.63530953e+00	8.73792894e-01	-1.41848335e-02	8.87977728e-01	-4.51081281e-01	1.87289237e-16	-2.25976100e-17	-3.48837634e-16	-1.97016427e-16	-1.51821207e-16
4.72            	3.27294362e+00	1.63647181e+00	1.63647181e+00	9.72086148e-01	2.66817329e-01	7.05268819e-01	-2.19225745e-01	1.89848093e-16	-2.31466839e-17	-3.59471108e-16	-2.02882238e-16	-1.56588870e-16
4.73            	3.27799139e+00	1.63899570e+00	1.63899570e+00	1.03093779e+00	4.09494888e-01	6.21442901e-01	-1.05974007e-01	1.90944664e-16	-2.34598270e-17	-3.64777620e-16	-2.05848637e-16	-1.58928983e-16
4.74            	3.28722842e+00	1.64361421e+00	1.64361421e+00	1.04917495e+00	3.34726563e-01	7.14448383e-01	-1.89860910e-01	1.90717905e-16	-2.32175446e-17	-3.64472138e-16	-2.05453614e-16	-1.59018524e-16
4.75            	3.29325105e+00	1.64662552e+00	1.64662552e+00	1.02753388e+00	2.85866264e-01	7.41667617e-01	-2.27900676e-01	1.89602001e-16	-2.25396174e-17	-3.58571095e-16	-2.01825165e-16	-1.56745930e-16
4.76            	3.30597993e+00	1.65298997e+00	1.65298997e+00	9.68357369e-01	-1.10030290e-01	1.07838766e+00	-5.94208975e-01	1.87696555e-16	-2.08161507e-17	-3.47406609e-16	-1.94519455e-16	-1.52887154e-16
4.77            	3.30169617e+00	1.65084809e+00	1.65084809e+00	8.75060463e-01	-1.77528188e-02	8.92813282e-01	-4.55283050e-01	1.85770114e-16	-1.91180566e-17	-3.31567711e-16	-1.84901912e-16	-1.46665799e-16
4.78            	3.29664206e+00	1.64832103e+00	1.64832103e+00	7.51775513e-01	-2.29237642e-02	7.74699277e-01	-3.98811521e-01	1.83602627e-16	-1.68047360e-17	-3.11809364e-16	-1.72709418e-16	-1.39099946e-16
4.79            	3.27895882e+00	1.63947941e+00	1.63947941e+00	6.03275595e-01	3.08232873e-01	2.95042721e-01	6.59507599e-03	1.81450694e-16	-1.46547385e-17	-2.88975332e-16	-1.59142404e-16	-1.29832927e-16
4.8             	3.27384609e+00	1.63692304e+00	1.63692304e+00	4.35021081e-01	9.87468063e-02	3.36274275e-01	-1.18763734e-01	1.78692827e-16	-1.17934631e-17	-2.63964718e-16	-1.43775822e-16	-1.20188896e-16
4.81            	3.31354601e+00	1.65677301e+00	1.65677301e+00	-3.19226462e-02	5.16141005e-02	-8.35367467e-02	6.75754236e-02	1.58871666e-16	-1.64177014e-17	-1.97416664e-16	-1.15126033e-16	-8.22906305e-17
4.82            	3.28775236e+00	1.64387618e+00	1.64387618e+00	-2.44261560e-01	4.32195275e-01	-6.76456834e-01	5.54326054e-01	1.55304956e-16	-1.33331416e-17	-1.66262207e-16	-9.64642452e-17	-6.97979621e-17
4.83            	3.29508305e+00	1.64754152e+00	1.64754152e+00	-4.44495386e-01	-1.78790526e-01	-2.65704860e-01	4.34571667e-02	1.51634469e-16	-9.98825973e-18	-1.39232270e-16	-7.96043945e-17	-5.96278751e-17
